"","OTU_57","OTU_53","OTU_59","OTU_56","OTU_13","OTU_11","OTU_48","OTU_51","OTU_43","OTU_50","OTU_36","OTU_32","OTU_34","OTU_19","OTU_14","OTU_20","OTU_35","OTU_33","OTU_4","OTU_44","OTU_46","OTU_42","OTU_38","OTU_41","OTU_39","OTU_16","OTU_2","OTU_10","OTU_17","OTU_47","OTU_54","OTU_55","OTU_49","OTU_15","OTU_5","OTU_40","OTU_12","OTU_7","OTU_8","OTU_21","OTU_18","OTU_45","OTU_6","OTU_30","OTU_25","OTU_29","OTU_3","OTU_22","OTU_1","OTU_31","OTU_27","OTU_9","OTU_23","OTU_58","OTU_28","OTU_52","OTU_26","OTU_37","OTU_24"
"ADE_21_00418",39134,0,17386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00419",8347,19522,6186,0,0,5969,0,0,0,0,0,0,0,0,0,0,0,0,10065,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"ADE_21_00420",12000,0,2667,0,5676,0,0,0,0,0,0,0,0,0,8701,0,0,0,10538,0,2008,3594,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00421",21615,5189,8578,0,10144,4550,0,0,0,0,0,0,0,0,6989,0,0,0,23099,0,0,0,2787,0,0,0,0,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00422",22464,0,4785,0,13562,2697,0,0,0,2891,42,0,0,0,20110,0,0,0,20486,0,3549,0,0,0,0,0,0,0,0,0,0,5062,0,0,0,0,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00423",58836,0,11179,0,10515,0,0,0,0,3244,0,0,0,0,7649,0,0,0,8011,0,14026,0,0,0,6487,4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00424",5222,10364,10997,0,0,8079,2238,3199,0,0,0,0,0,0,4080,0,0,0,20382,0,4090,0,0,0,0,7849,0,0,0,4162,0,0,0,0,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00425",39947,0,9028,0,5039,10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6065,0,0,0,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00426",10374,0,25212,0,7708,10942,0,0,0,0,0,0,0,0,6377,0,0,0,13830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00427",33566,4595,9331,0,18748,14491,0,5760,0,573,0,0,0,0,7820,0,0,0,15783,0,0,2379,0,0,0,965,0,0,0,0,0,13370,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00428",1623,0,0,3316,6480,0,0,0,0,0,0,0,0,0,4720,0,0,0,6590,0,0,0,0,0,0,1804,0,1778,0,0,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00429",27131,0,0,0,10352,23663,0,0,0,0,0,0,0,0,0,0,0,0,30013,0,0,16910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00430",16969,25414,2785,0,41478,8065,0,0,0,0,0,0,0,0,16404,0,0,0,39568,0,2245,2539,0,0,6751,0,1387,4463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00431",14264,11179,0,0,0,19094,0,0,0,0,168,0,0,0,7650,0,0,0,22517,0,16049,0,0,0,0,3412,643,0,0,0,0,0,0,0,2708,0,0,0,545,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00432",33762,0,2420,0,7252,11097,0,0,0,0,0,0,0,0,0,0,0,0,34914,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00433",27560,0,12087,0,23129,7386,0,0,0,0,0,0,0,0,0,0,0,0,8042,0,0,0,0,0,0,12735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"ADE_21_00434",45976,0,0,0,0,0,0,0,0,0,0,0,0,0,41664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00435",0,0,0,0,0,0,0,35875,0,0,0,0,0,0,0,0,0,0,2199,0,0,0,0,0,0,0,28128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00436",0,0,66645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00437",90991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00438",22809,0,0,0,0,0,0,0,0,0,0,0,0,0,25392,0,0,0,6953,0,0,0,0,0,3257,0,0,0,0,0,0,0,0,0,0,0,0,687,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00439",3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00440",23255,0,32048,0,0,0,0,32719,0,0,0,0,0,0,0,0,0,0,13575,0,0,0,0,0,0,10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ADE_21_00441",0,0,12569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285,0,0,0,8244,0,0,3873,0,0,0,0,0,0,0,0,0,3514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00444",44743,0,47947,0,0,0,0,24304,0,0,0,0,0,0,0,0,0,0,22446,11067,0,0,0,0,0,0,2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00445",0,0,32708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18846,0,0,0,0,0,0,3480,0,10629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00446",4387,0,0,0,0,0,0,21403,0,0,0,0,0,0,0,0,0,0,40769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00447",15910,16804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14004,0,0,0,0,0,0,4447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADE_21_00448",13743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
