"","class.index","Mantel.cor","Pr.Mantel","Pr.corrected","distance","Signif","group","Locus"
"249",231.321298810299,-0.156036076578416,0.001,0.003,"2D|Depth","yes","Summer2021","16Schord"
"250",308.428398413732,-0.0641315812466083,0.003,0.012,"2D|Depth","yes","Summer2021","16Schord"
"251",385.535498017165,-0.119087489383288,0.001,0.005,"2D|Depth","yes","Summer2021","16Schord"
"252",462.642597620598,-0.00279014911655917,0.433,2.598,"2D|Depth","no","Summer2021","16Schord"
"253",539.749697224031,0.281624159546586,0.001,0.007,"2D|Depth","yes","Summer2021","16Schord"
"254",616.856796827464,NA,NA,NA,"2D|Depth",NA,"Summer2021","16Schord"
"255",693.963896430897,-0.0820632844632082,0.003,0.027,"2D|Depth","yes","Summer2021","16Schord"
"256",771.07099603433,-0.0732087184285573,0.003,0.03,"2D|Depth","yes","Summer2021","16Schord"
"257",848.178095637763,0.0612364596197901,0.005,0.055,"2D|Depth","no","Summer2021","16Schord"
"258",926.285195241196,-0.0661603793067243,0.002,0.024,"2D|Depth","yes","Summer2021","16Schord"
"259",77.1725081901894,0.474278051783989,0.001,0.001,"3D","yes","Summer2021","16Schord"
"260",154.345016380379,0.131530351229577,0.001,0.002,"3D","yes","Summer2021","16Schord"
"261",231.517524570568,0.0256801533767793,0.1,0.3,"3D","no","Summer2021","16Schord"
"262",308.690032760758,0.00895170139622387,0.32,1.28,"3D","no","Summer2021","16Schord"
"263",385.862540950947,-0.0680115015022456,0.009,0.045,"3D","yes","Summer2021","16Schord"
"264",463.035049141136,-0.0838496348885534,0.005,0.03,"3D","yes","Summer2021","16Schord"
"265",540.207557331326,0.0624566875129758,0.005,0.035,"3D","yes","Summer2021","16Schord"
"266",617.380065521515,NA,NA,NA,"3D",NA,"Summer2021","16Schord"
"267",694.552573711705,-0.282498070902903,0.001,0.009,"3D","yes","Summer2021","16Schord"
"268",771.725081901894,-0.228461484220058,0.001,0.01,"3D","yes","Summer2021","16Schord"
"269",848.897590092084,-0.175409275073507,0.001,0.011,"3D","yes","Summer2021","16Schord"
"270",927.070098282273,-0.353735706692126,0.001,0.012,"3D","yes","Summer2021","16Schord"
"271",2.85333333333333,0.34707699471868,0.001,0.001,"Depth|2D","yes","Spring2021","16Schord"
"272",5.70666666666667,-0.0761641942671783,0.008,0.016,"Depth|2D","yes","Spring2021","16Schord"
"273",8.56,-0.0721723470951761,0.014,0.042,"Depth|2D","yes","Spring2021","16Schord"
