"","X","ID_ADNe","Site","ID_reception","Latitude","Longitude","Depth_CTD","Tide","Depth_m","Temperature","Salinity","Date","Project","Locus"
"388",388,"ADE_21_00496","Godbout","40M1-b",49.2948440182954,-67.6989999599755,"36.840000000000003",1.9,34.94,"1.01","31.35","2021-06-03","PPO.Godbout.2021","COI"
"392",392,"ADE_21_00497","Godbout","11M2-b",49.3004980310798,-67.6984900049865,"12.19",2.2,9.99,"3.76","28.92","2021-06-03","PPO.Godbout.2021","COI"
"396",396,"ADE_21_00498","Godbout","11M3-c",49.3004090152681,-67.6982829719782,"12.76",1.8,10.96,"3.78","28.91","2021-06-03","PPO.Godbout.2021","COI"
"400",400,"ADE_21_00499","Godbout","11M3-b",49.3004090152681,-67.6982829719782,"12.76",1.8,10.96,"3.78","28.91","2021-06-03","PPO.Godbout.2021","COI"
"404",404,"ADE_21_00500","Godbout","40M1-c",49.2948440182954,-67.6989999599755,"36.840000000000003",1.9,34.94,"1.01","31.35","2021-06-03","PPO.Godbout.2021","COI"
"408",408,"ADE_21_00501","Godbout","11M1-c",49.300606995821,-67.6987810246646,"12.3",2.2,10.1,"3.44","29.21","2021-06-03","PPO.Godbout.2021","COI"
"416",416,"ADE_21_00503","Godbout","20M2-c",49.29887,-67.69871,"19.71",2.7,17.01,"1.32","31.1","2021-06-01","PPO.Godbout.2021","COI"
"420",420,"ADE_21_00504","Godbout","20M3-b",49.29881,-67.69819,"21.85",2.2,19.65,"1.33","31.12","2021-06-01","PPO.Godbout.2021","COI"
"424",424,"ADE_21_00506","Godbout","20M3-a",49.29881,-67.69819,"21.85",2.2,19.65,"1.33","31.12","2021-06-01","PPO.Godbout.2021","COI"
"428",428,"ADE_21_00507","Godbout","20M1-a",49.29887,-67.69897,"23",2.7,20.3,"1.0900000000000001","31.33","2021-06-01","PPO.Godbout.2021","COI"
"432",432,"ADE_21_00508","Godbout","20M1-b",49.29887,-67.69897,"23",2.7,20.3,"1.0900000000000001","31.33","2021-06-01","PPO.Godbout.2021","COI"
"436",436,"ADE_21_00509","Godbout","20M1-c",49.29887,-67.69897,"23",2.7,20.3,"1.0900000000000001","31.33","2021-06-01","PPO.Godbout.2021","COI"
"440",440,"ADE_21_00510","Godbout","20M2-a",49.29887,-67.69871,"19.71",2.7,17.01,"1.32","31.1","2021-06-01","PPO.Godbout.2021","COI"
"444",444,"ADE_21_00511","Godbout","40M4-a",49.2945959977806,-67.6983600016683,"41.38",2.3,39.08,"2.35","31.39","2021-08-25","PPO.Godbout.2021","COI"
"452",452,"ADE_21_00513","Godbout","14M2-b",49.2992600239813,-67.6989319827408,"14.57",0.4,14.17,"5.58","29.79","2021-08-25","PPO.Godbout.2021","COI"
"456",456,"ADE_21_00514","Godbout","14M3-b",49.2992170248181,-67.698588995263,"15.07",0.4,14.67,"4.96","30.19","2021-08-25","PPO.Godbout.2021","COI"
"460",460,"ADE_21_00515","Godbout","40M2-a",49.2947560083121,-67.6991670113057,"41.67",2.3,39.37,"4.26","31.37","2021-08-25","PPO.Godbout.2021","COI"
"464",464,"ADE_21_00516","Godbout","10M4-a",49.3008450418711,-67.697976026684,"9.17",0.5,8.67,"13.76","26.93","2021-08-25","PPO.Godbout.2021","COI"
"468",468,"ADE_21_00517","Godbout","10M2-a",49.3010369874537,-67.6988319866359,"9.85",1,8.85,"12.22","27.32","2021-08-25","PPO.Godbout.2021","COI"
"472",472,"ADE_21_00518","Godbout","10M4-b",49.3008450418711,-67.697976026684,"9.17",0.5,8.67,"13.76","26.93","2021-08-25","PPO.Godbout.2021","COI"
"476",476,"ADE_21_00519","Godbout","14M3-c",49.2992170248181,-67.698588995263,"15.07",0.4,14.67,"4.96","30.19","2021-08-25","PPO.Godbout.2021","COI"
"480",480,"ADE_21_00520","Godbout","14M2-a",49.2992600239813,-67.6989319827408,"14.57",0.4,14.17,"5.58","29.79","2021-08-25","PPO.Godbout.2021","COI"
"484",484,"ADE_21_00521","Godbout","20M3-c",49.2987069860101,-67.6986839622259,"19.84",1,18.84,"4.6500000000000004","30.39","2021-08-25","PPO.Godbout.2021","COI"
"492",492,"ADE_21_00523","Godbout","40M3-a",49.2946219816804,-67.6986800227314,"40.799999999999997",2.3,38.5,"2.3199999999999998","31.32","2021-08-25","PPO.Godbout.2021","COI"
"496",496,"ADE_21_00524","Godbout","14M4-c",49.2991519812495,-67.6982849836349,"13.59",0.6,12.99,"5.92","29.83","2021-08-25","PPO.Godbout.2021","COI"
"504",504,"ADE_21_00526","Godbout","20M1-a",49.2988939862698,-67.6992019638419,"18.399999999999999",0.6,17.8,"4.5599999999999996","30.28","2021-08-25","PPO.Godbout.2021","COI"
