"","X","Df","Variance","F","Pr..F.","R2","adj.R2","model","transfo","locus","project"
"142","Temperature",1,0.00430707846398692,0.804684217037991,0.666,0.0323670694962412,0.0279990880537586,"pRDA","Hellinger","MiFishU","Godbout_Summer"
"143","Salinity",1,0.00531490478638885,0.99297471184397,0.455,0.0275966767713893,0.0231171071949922,"pRDA","Hellinger","MiFishU","Godbout_Summer"
"144","Residual1",77,0.412143092538542,NA,NA,NA,NA,"pRDA","Hellinger","MiFishU","Godbout_Summer"
"145","Complete_model",5,3311.4421891671,6.44789270523709,0.001,0.295126524552114,0.249355519652901,"Complete","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"146","Residual",77,7908.97306212205,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"147","Longitude",1,25.99245898749,0.253056790852152,0.766,0.00166319120902136,-0.00257070156183647,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"148","Latitude",1,84.5551106052881,0.823209722105222,0.365,0.0070500730934969,0.0029421892556093,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"149","Depth_m",1,88.1448596309392,0.858158718998249,0.366,0.0195276425539134,0.0157116316858601,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"150","Temperature",1,118.333351329742,1.15206714965665,0.253,0.0210573313327956,0.0172771026584003,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"151","Salinity",1,241.412123341694,2.35033465802738,0.098,0.0192439664534101,0.0154213198870993,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"152","Residual1",77,7908.97306212205,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","MiFishU","Godbout_Summer"
"153","Complete_model",3,0.0654216457796558,3.50038560633787,0.001,0.118655588203086,0.0847577262108971,"Complete","Hellinger","16Schord","BDA"
"154","Residual",78,0.485935831524176,NA,NA,NA,NA,"Complete","Hellinger","16Schord","BDA"
"155","Longitude",1,0.0139087105163443,2.23255695483917,0.037,0.0252263025149463,0.0142795978471082,"pRDA","Hellinger","16Schord","BDA"
"156","Latitude",1,0.00801721151032392,1.28688287061242,0.22,0.0145408593160434,0.00332363709886596,"pRDA","Hellinger","16Schord","BDA"
"157","Depth_m",1,0.00818456752227975,1.3137460243165,0.18,0.0148443938083554,0.00363485600870495,"pRDA","Hellinger","16Schord","BDA"
"158","Residual1",78,0.485935831524176,NA,NA,NA,NA,"pRDA","Hellinger","16Schord","BDA"
"159","Complete_model",3,15550.6556347558,4.50170399549455,0.002,0.147588605283688,0.114803551640753,"Complete","Hellinger-Mahalanobis","16Schord","BDA"
"160","Residual",78,89814.2229938496,NA,NA,NA,NA,"Complete","Hellinger-Mahalanobis","16Schord","BDA"
"161","Longitude",1,2862.86569225109,2.48628242334041,0.104,0.027170965502662,0.0166538197133718,"pRDA","Hellinger-Mahalanobis","16Schord","BDA"
"162","Latitude",1,1401.36747728099,1.21703066156239,0.295,0.0133001413334157,0.00243183543857495,"pRDA","Hellinger-Mahalanobis","16Schord","BDA"
"163","Depth_m",1,574.24120126538,0.498705129384317,0.566,0.00545002274263195,-0.00561702033172229,"pRDA","Hellinger-Mahalanobis","16Schord","BDA"
"164","Residual1",78,89814.2229938496,NA,NA,NA,NA,"pRDA","Hellinger-Mahalanobis","16Schord","BDA"
"165","Complete_model",5,0.202042289212671,2.33073168452788,0.001,0.346282067651813,0.197709810299952,"Complete","Hellinger","16Schord","PPO.Leim.VRoy.2019"
"166","Residual",22,0.381419310698488,NA,NA,NA,NA,"Complete","Hellinger","16Schord","PPO.Leim.VRoy.2019"
"167","Longitude",1,0.0511509731855417,2.9503524822095,0.006,0.0876681056531053,0.068032550562339,"pRDA","Hellinger","16Schord","PPO.Leim.VRoy.2019"
"168","Latitude",1,0.0516243630580761,2.97765728011468,0.004,0.0884794527453678,0.068985001496734,"pRDA","Hellinger","16Schord","PPO.Leim.VRoy.2019"
