",""ID_ADNe"",""Site"",""ID_reception"",""Latitude"",""Longitude"",""Depth_CTD"",""Tide"",""Depth_m"",""Temperature"",""Salinity"",""Date"",""Project"",""Locus"""
"50,""ADE_21_00410"",""Godbout"",""6M2-c"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"51,""ADE_21_00410"",""Godbout"",""6M2-c"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"52,""ADE_21_00410"",""Godbout"",""6M2-c"",""49.302179021760821"",""-67.698579020798206"",""6.79"",""2.5"",4.29,""10.039999999999999"",""28.14"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"53,""ADE_21_00411"",""Godbout"",""2M3-a"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"54,""ADE_21_00411"",""Godbout"",""2M3-a"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"55,""ADE_21_00411"",""Godbout"",""2M3-a"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"56,""ADE_21_00411"",""Godbout"",""2M3-a"",""49.302569031715393"",""-67.698485981673002"",""4.62"",""2.9"",1.72,""12.22"",""27.45"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"57,""ADE_21_00412"",""Godbout"",""2M2-a"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"58,""ADE_21_00412"",""Godbout"",""2M2-a"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"59,""ADE_21_00412"",""Godbout"",""2M2-a"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"60,""ADE_21_00412"",""Godbout"",""2M2-a"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"61,""ADE_21_00413"",""Godbout"",""6M4-b"",""49.30202697403729"",""-67.698108041658998"",""8.16"",""1.9"",6.26,""10.44"",""27.97"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"62,""ADE_21_00413"",""Godbout"",""6M4-b"",""49.30202697403729"",""-67.698108041658998"",""8.16"",""1.9"",6.26,""10.44"",""27.97"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"63,""ADE_21_00413"",""Godbout"",""6M4-b"",""49.30202697403729"",""-67.698108041658998"",""8.16"",""1.9"",6.26,""10.44"",""27.97"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"64,""ADE_21_00413"",""Godbout"",""6M4-b"",""49.30202697403729"",""-67.698108041658998"",""8.16"",""1.9"",6.26,""10.44"",""27.97"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"65,""ADE_21_00414"",""Godbout"",""11M4-a"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"66,""ADE_21_00414"",""Godbout"",""11M4-a"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"67,""ADE_21_00414"",""Godbout"",""11M4-a"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"68,""ADE_21_00414"",""Godbout"",""11M4-a"",""49.300277000293136"",""-67.698240978643298"",""13.2"",""2.9"",10.3,""6.23"",""29.42"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"69,""ADE_21_00415"",""Godbout"",""11M3-c"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"70,""ADE_21_00415"",""Godbout"",""11M3-c"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"71,""ADE_21_00415"",""Godbout"",""11M3-c"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"72,""ADE_21_00415"",""Godbout"",""11M3-c"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"73,""ADE_21_00416"",""Godbout"",""6M1-b"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"74,""ADE_21_00416"",""Godbout"",""6M1-b"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"75,""ADE_21_00416"",""Godbout"",""6M1-b"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"76,""ADE_21_00416"",""Godbout"",""6M1-b"",""49.302311958745122"",""-67.698942041024566"",""7.42"",""2.5"",4.92,""8.64"",""28.5"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"77,""ADE_21_00417"",""Godbout"",""2M1-b"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"78,""ADE_21_00417"",""Godbout"",""2M1-b"",""49.302898021414876"",""-67.69918997772038"",""3.86"",""2.9"",0.96,""14.62"",""26.68"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
