"","Gadus","Ammodytidae","Myoxocephalus","Ammodytes americanus","Gasterosteus aculeatus","Ammodytes dubius","Gymnocanthus tricuspis","Microgadus tomcod","Pleuronectidae","Sebastes fasciatus","Mallotus villosus","Clupea harengus","Hemitripterus americanus","Bos","Artediellus uncinatus","Stichaeus punctatus","Pholis gunnellus","Urophycis tenuis","Liparis miostomus","Scomber scombrus","Anarhichas","Catostomus commersonii","Halichoerus grypus","Homo sapiens","Phocoena phocoena","Gadus macrocephalus","Limanda","Stichaeidae","Canis lupus","Acipenser oxyrinchus","Anisarchus","Megaptera novaeangliae","Cyclopterus lumpus","Enchelyopus cimbrius","Eumicrotremus spinosus","Chrosomus neogaeus","Lagenorhynchus acutus","Phoca vitulina","Phasianidae","Balaenoptera musculus","NA","Sus scrofa","Triglops murrayi","Hippoglossus","Gadus morhua","Liparis","Trachinotus blochii","Askoldia variegata","Opisthocentrus ocellatus","Balaenoptera physalus","Pseudopleuronectes","Zoarces americanus","Lycodes","Myoxocephalus aenaeas","Thunnus thynnus","Gymnelus hemifasciatus","Hippoglossoides robustus","Balaenoptera acutorostrata","Melanostigma atlanticum","Asterias rubens","Ammodytes hexapterus","Artediellus","Phalacrocorax auritus","Odocoileus virginianus","Pseudoalteromonas prydzensis"
"BDA20_054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_055",120395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_057",328206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_058",90086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_059",313207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_060",0,0,0,0,0,0,115,0,800203,0,0,0,61,0,0,0,0,0,0,0,0,0,0,7,75,0,250,9989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_061",595189,0,0,0,198,0,93,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_064",471739,0,281591,0,135,0,0,116,92,0,0,0,50,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
